#wire	x1	y1	z1	x2	y2	z2	on/off
0	-95	-93	88	95	-93	88	off
1	-95	-81	88	95	-81	88	off
2	-95	-69	88	95	-69	88	off
3	-95	-57	88	95	-57	88	off
4	-95	-45	88	95	-45	88	off
5	-95	-33	88	95	-33	88	off
6	-95	-21	88	95	-21	88	off
7	-95	-9	88	95	-9	88	off
8	-95	3	88	95	3	88	off
9	-95	15	88	95	15	88	off
10	-95	27	88	95	27	88	off
11	-95	39	88	95	39	88	off
12	-95	51	88	95	51	88	off
13	-95	63	88	95	63	88	off
14	-95	75	88	95	75	88	off
15	-95	87	88	95	87	88	off
16	-95	-226.75	72	95	-36.75	72	off
17	-95	-209.75	72	95	-19.75	72	off
18	-95	-192.75	72	95	-2.75	72	off
19	-95	-175.75	72	95	14.25	72	off
20	-95	-158.75	72	95	31.25	72	off
21	-95	-141.75	72	95	48.25	72	off
22	-95	-124.75	72	95	65.25	72	off
23	-95	-107.75	72	95	82.25	72	off
24	-95	-90.75	72	95	99.25	72	off
25	-95	-73.75	72	95	116.25	72	off
26	-95	-56.75	72	95	133.25	72	off
27	-95	-39.75	72	95	150.25	72	off
28	-95	-22.75	72	95	167.25	72	off
29	-95	-5.75	72	95	184.25	72	off
30	-95	11.25	72	95	201.25	72	off
31	-95	28.25	72	95	218.25	72	off
32	-95	-36.75	56	95	-226.75	56	off
33	-95	-19.75	56	95	-209.75	56	off
34	-95	-2.75	56	95	-192.75	56	off
35	-95	14.25	56	95	-175.75	56	off
36	-95	31.25	56	95	-158.75	56	off
37	-95	48.25	56	95	-141.75	56	off
38	-95	65.25	56	95	-124.75	56	off
39	-95	82.25	56	95	-107.75	56	off
40	-95	99.25	56	95	-90.75	56	off
41	-95	116.25	56	95	-73.75	56	off
42	-95	133.25	56	95	-56.75	56	off
43	-95	150.25	56	95	-39.75	56	off
44	-95	167.25	56	95	-22.75	56	off
45	-95	184.25	56	95	-5.75	56	off
46	-95	201.25	56	95	11.25	56	off
47	-95	218.25	56	95	28.25	56	off
48	-95	-87	40	95	-87	40	off
49	-95	-75	40	95	-75	40	off
50	-95	-63	40	95	-63	40	off
51	-95	-51	40	95	-51	40	off
52	-95	-39	40	95	-39	40	off
53	-95	-27	40	95	-27	40	off
54	-95	-15	40	95	-15	40	off
55	-95	-3	40	95	-3	40	off
56	-95	9	40	95	9	40	off
57	-95	21	40	95	21	40	off
58	-95	33	40	95	33	40	off
59	-95	45	40	95	45	40	off
60	-95	57	40	95	57	40	off
61	-95	69	40	95	69	40	off
62	-95	81	40	95	81	40	off
63	-95	93	40	95	93	40	off
64	-95	-218.25	24	95	-28.25	24	off
65	-95	-201.25	24	95	-11.25	24	off
66	-95	-184.25	24	95	5.75	24	off
67	-95	-167.25	24	95	22.75	24	off
68	-95	-150.25	24	95	39.75	24	off
69	-95	-133.25	24	95	56.75	24	off
70	-95	-116.25	24	95	73.75	24	off
71	-95	-99.25	24	95	90.75	24	off
72	-95	-82.25	24	95	107.75	24	off
73	-95	-65.25	24	95	124.75	24	off
74	-95	-48.25	24	95	141.75	24	off
75	-95	-31.25	24	95	158.75	24	off
76	-95	-14.25	24	95	175.75	24	off
77	-95	2.75	24	95	192.75	24	off
78	-95	19.75	24	95	209.75	24	off
79	-95	36.75	24	95	226.75	24	off
80	-95	-28.25	8	95	-218.25	8	off
81	-95	-11.25	8	95	-201.25	8	off
